Argentina;;;Bolivia;;;Brazil;;;Canada;;;Chile;;;Colombia;;;Dominican Republic;;;Guatemala;;;Mexico;;;Panama;;;Peru;;;El Salvador;;;US;;
Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper
4,830783997;4,166595597;5,54337184;4,188841719;3,239649882;5,258128348;6,263414778;5,388781154;7,20285798;0,420936518;0,01065719;1,552784074;4,389711487;3,985473711;4,813194798;3,473054838;3,092966384;3,874851099;12,37947965;9,491276062;15,64547628;1,66888961;1,004780565;2,498745871;7,409242121;5,98021464;8,989070443;1,66888961;1,004780565;2,498745871;1,856215693;1,640222668;2,085374606;2,04827738;1,449482981;2,748983701;0,607629858;0,073586795;1,692748442
4,201512561;3,647321143;4,794326151;3,289974359;2,539132752;4,136589595;5,44102896;4,737993331;6,19198794;0,442899722;0,01121325;1,633803685;3,934099709;3,599707689;4,283130894;2,643582349;2,342454094;2,962654909;15,2905415;12,46760925;18,3972431;1,199948251;0,656022875;1,905380335;6,256330304;5,203691858;7,404489005;1,199948251;0,656022875;1,905380335;1,76690082;1,569042395;1,976337849;2,35605479;1,737168812;3,067781458;1,067619988;0,220168908;2,571073655
4,164916315;3,674913758;4,685138983;2,221019897;1,673176142;2,845259199;6,128034649;5,485571752;6,805560531;0,49186645;0,01245298;1,81443604;4,103534556;3,801948461;4,416467414;2,325979841;2,069779133;2,59691318;18,98538565;16,32723877;21,84105941;1,241463122;0,694837485;1,944099892;5,21825672;4,419145868;6,082799734;1,241463122;0,694837485;1,944099892;1,573241986;1,395572055;1,761402925;2,127598173;1,568722937;2,770311731;1,269314533;0,261763172;3,05680035
4,349200884;3,904201595;4,81786975;1,637338073;1,215263877;2,12135481;6,892592268;6,302178665;7,509063362;1,143708965;0,138508462;3,186169247;3,372038981;3,128364917;3,624721544;1,908887951;1,697250127;2,132780471;14,75096914;12,88637085;16,73971812;2,062731797;1,347444894;2,927883695;4,282471598;3,662901769;4,94974068;2,062731797;1,347444894;2,927883695;1,973184829;1,78146817;2,174558131;2,226407585;1,681804363;2,846225939;1,485270788;0,306298544;3,576872516
3,650830724;3,287308171;4,03314251;1,429982961;1,067979672;1,844006515;7,302429631;6,773266458;7,851212129;1,37641265;0,166689958;3,834440223;2,954766885;2,749723203;3,167079021;1,57226044;1,394701357;1,760303985;10,83044087;9,596754409;12,13764301;2,442290698;1,670525029;3,358304299;4,278433251;3,736452652;4,856583741;2,442290698;1,670525029;3,358304299;2,200266162;2,004800152;2,404694176;1,774913527;1,317375031;2,299599214;1,104036882;0,133703988;3,075649898
3,399026377;3,084594611;3,728499529;1,039282629;0,752133992;1,372138239;6,909362306;6,464055541;7,369291858;1,670927951;0,202357127;4,654907338;3,067792899;2,878609139;3,262912217;1,557430885;1,391193374;1,732914744;7,483098093;6,68678668;8,323559344;2,114749972;1,416281246;2,951009322;3,726692176;3,279012033;4,202602166;2,114749972;1,416281246;2,951009322;2,173506105;1,986225821;2,369102927;1,521845136;1,122088467;1,981570339;1,16030073;0,140517801;3,232390948
2,864074279;2,604685501;3,135598537;1,130292876;0,841577288;1,460931615;7,08015239;6,693960797;7,477021696;1,957143554;0,237019164;5,452252975;3,031508904;2,859835836;3,208115177;1,842996407;1,670126169;2,024257498;5,626335888;5,072659769;6,208277169;2,095061142;1,4234924;2,894351662;2,872978415;2,522380453;3,246058528;2,095061142;1,4234924;2,894351662;2,791631561;2,587772163;3,00311006;1,283510921;0,936201673;1,684763425;0,587263962;0,014868236;2,166345962
2,286961492;2,07730576;2,506551834;1,452124985;1,129839914;1,814234514;5,971149192;5,669161431;6,280862791;3,219126863;0,66386135;7,752395382;2,676457088;2,528240171;2,828836344;2,166303058;1,985273441;2,355118406;3,902248712;3,51971598;4,30423053;2,128514151;1,482588095;2,889402746;2,618454074;2,317028608;2,938043808;2,128514151;1,482588095;2,889402746;2,815756938;2,621226133;3,017151849;1,226945729;0,901513572;1,601752946;0,59268058;0,015005373;2,186327215
2,036149077;1,855262809;2,225328877;1,476326508;1,155134569;1,836321328;4,678679964;4,450871031;4,912094494;2,200112977;0,266443888;6,129122464;2,440557276;2,31007188;2,574577005;2,128834333;1,955231582;2,309715315;3,5764743;3,26203423;3,905175233;3,41642686;2,625276204;4,31018592;2,651374009;2,375022547;2,942714827;3,41642686;2,625276204;4,31018592;2,768929575;2,587353117;2,95657636;1,050611194;0,76033253;1,387095053;0,612330405;0,015502864;2,258813048
1,747109811;1,592063795;1,909256792;1,590035034;1,25884571;1,959316244;3,331640503;3,166772406;3,500633339;2,116025049;0,25626045;5,894868491;2,282702282;2,166029971;2,402391983;2,007580647;1,845433695;2,176457664;3,195096687;2,933150015;3,468086599;3,147204181;2,428945743;3,957080101;2,695454015;2,43836939;2,965237895;3,147204181;2,428945743;3,957080101;2,823052732;2,652111077;2,999257524;1,09788517;0,806684728;1,433266985;1,978675207;0,408050397;4,765103457
1,464432094;1,331367174;1,603743935;2,464672644;2,053138133;2,913240266;2,953980386;2,818630254;3,092460002;2,924371972;0,603075805;7,042558041;1,95482348;1,854528895;2,057722035;1,96488603;1,811909367;2,123973786;2,40287266;2,19882831;2,615840801;3,280181808;2,588668187;4,05231671;2,790050168;2,546498555;3,044565307;3,280181808;2,588668187;4,05231671;4,098337985;3,906921541;4,294267905;1,204455739;0,90222;1,549681882;2,222199148;0,458270888;5,351564927
1,54900893;1,418837305;1,684811824;2,093399047;1,723698299;2,498483582;2,45024751;2,340496949;2,56247742;3,595090495;0,979541161;7,87978502;1,799276006;1,709244557;1,891585674;1,685135121;1,550879188;1,824884628;2,433203301;2,245715895;2,628100189;2,801917051;2,211229119;3,46147133;2,962171522;2,727748199;3,206120436;2,801917051;2,211229119;3,46147133;3,893912312;3,721355669;4,070324671;1,209094719;0,908309166;1,55223815;2,505748505;0,516745582;6,034416774
1,463076014;1,341598933;1,589742496;1,615686106;1,304067211;1,960189178;2,178337627;2,084207351;2,274517726;2,499325046;0,515420911;6,018947612;1,708737806;1,62600172;1,793498111;1,343939862;1,230359809;1,462462589;2,34036044;2,170650447;2,516367174;2,473276243;1,964138344;3,040203829;2,701433191;2,49294894;2,91817026;2,473276243;1,964138344;3,040203829;4,178720009;4,014643288;4,346036821;1,174187436;0,879546964;1,510737952;2,652125795;0,546932099;6,386926842
1,247814601;1,139328174;1,361163976;1,678008918;1,375168803;2,010536127;1,901250803;1,819948286;1,984304985;3,777110111;1,226417372;7,736721628;1,653723587;1,576329213;1,732946639;1,298822175;1,192339593;1,409793888;1,911281851;1,768441282;2,059590939;1,410591952;1,062650903;1,807052577;2,364175347;2,183284667;2,552162638;1,410591952;1,062650903;1,807052577;6,148134853;5,967636523;6,33128488;1,311194945;1,000579876;1,663156848;2,574353541;0,53089359;6,199633426
1,216389288;1,112194414;1,325182729;1,705283627;1,414999136;2,022249139;1,740053635;1,667221382;1,814421092;4,01678395;1,474088916;7,81152817;1,534218035;1,462847472;1,607264583;1,728958196;1,610406177;1,851660883;1,601442017;1,47881525;1,728883505;1,315159058;1,003604912;1,668185042;2,124712271;1,965920876;2,289582846;1,315159058;1,003604912;1,668185042;5,826967402;5,669369314;5,986695948;1,330175891;1,019838228;1,681107441;0,785588481;0,019889378;2,897941207
1,147417098;1,048647303;1,250568433;1,169242872;0,941401424;1,421404614;2,031558098;1,957038609;2,107450507;6,432452172;3,211056949;10,7540987;1,462557841;1,395488426;1,531179313;1,691215569;1,577289541;1,809057732;1,332112873;1,226603021;1,441913747;1,200113165;0,920119882;1,516731122;1,836545045;1,699391508;1,97894534;1,200113165;0,920119882;1,516731122;4,532606093;4,409839092;4,65703512;1,27852648;0,977971451;1,618738046;1,413137958;0,171137563;3,936750381
1,003482006;0,912994651;1,098183549;1,544907642;1,290766279;1,821548271;2,252433603;2,177548027;2,328567485;6,945611607;3,797230498;11,02883542;1,309913101;1,248609081;1,372665616;1,947049575;1,827637853;2,070186589;1,3095258;1,20979339;1,413152029;1,424860406;1,129825686;1,753603685;1,691138016;1,567816563;1,819061769;1,424860406;1,129825686;1,753603685;3,826389459;3,728246751;3,925789454;1,241390328;0,949565237;1,57172009;1,308231411;0,158432893;3,644499448
0,956927681;0,869881167;1,048065435;1,862860469;1,591035868;2,155806657;2,418764058;2,344455225;2,494216053;6,767405759;3,942263241;10,34338162;1,301308144;1,242042015;1,361936139;2,099983697;1,97936543;2,224118992;1,039846247;0,954366252;1,128940054;1,541727646;1,241302929;1,874220354;1,732160464;1,613975926;1,854461621;1,541727646;1,241302929;1,874220354;3,29049772;3,211130586;3,370820271;1,200214638;0,918069097;1,519587688;6,391431568;3,064939869;10,91963521
